Unnamed: 0,participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.compute_distance,session.config.participation_fee,player.id_in_group,player.ip,player.lat,player.long,player.matches,player.sex,player.date,player.marital,player.children,player.children_number,player.children_first_age,player.language,player.language_other,player.zip,player.ethnicity,player.ethnicity_choice,player.ethnicity_choice_other,player.race,player.race_indian_other,player.race_asian_other,player.race_islander_other,player.race_other,player.religion,player.religion_denomination,player.religion_denomination_other,player.home,player.home_other,player.guns,player.place_growing_up,player.highest_degree,player.elementary_secondary_choices,player.elementary_secondary_choices_incomplete_high_school,player.high_school_choices,player.college_choices,player.after_bachelor_choices,player.major_college,player.major_bachelor,player.country_growing_up,player.us_state_grow_up,player.another_country_grow_up,player.us_citizen,player.us_citizen_options,player.work_last_week,player.profession,player.employer,player.work_tasks,player.unemployed_10_years,player.labor_union,player.household_income,player.income_group_placement,player.sixteen_yo_comparison,player.parental_comparison_standards,player.social_class,player.financial_satisfaction,player.importance_democracy,player.american_pride,player.political_party,player.other_political_party,player.politcal_views,player.executive_branch_confidence,player.congress_confidence,player.supreme_court_confidence,player.military_confidence,player.police_confidence,player.banks_confidence,player.unions_confidence,player.public_ed_confidence,player.press_confidence,player.improve_condition_blacks,player.improve_condition_abroad,player.protecting_environment,player.government_redistribution,player.income_tax_level,player.death_penalty,player.affirmative_action,player.sex_before_marriage,player.same_sex_relations,player.abortion,player.people_helpful,player.people_take_advantage_of_you,player.people_trustworthy,player.payoff,group.id_in_subsession,subsession.round_number,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,player.city,player.state,player.state_short
10,8,d1rt5zyh,,0,8,7,outro,End,2019-11-14 21:05:24.756803+00:00,1,A29E******HTGU,3R6P**********************OTGI,0,1.25,ywjdvkbj,20191114-1600,,3WGCNLZJKFLX52J44F7RT44CG431D5,3NAD71TD7UOOXZN3I6F3RI79EEBL25,,0,1,0,1.25,8,104.139.47.242,35.24,-81.04000000000002,,male,02/04/1989,never,0,,,english,,28012,0,,,white,,,,,0,,,mobile home,,0,small town,high school graduate,,,high school diploma,,,,,usa,NC,,1,born usa,full time work,Inventory Specialist,private business,0.666666666666667,1,0,0.708333333333333,0.333333333333333,0.5,0.5,middle class,0.5,0.666666666666667,0.333333333333333,independent,,0.333333333333333,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.666666666666667,0.5,0,0.333333333333333,1.0,1.0,1,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belmont,North Carolina,NC
11,3,lexe8z44,,0,8,7,outro,End,2019-11-10 16:50:33.727784+00:00,1,A30M******MIFD,3RRC**********************6B47,0,1.25,kroa56a8,20191110-1200,,3Z33IC0JC0Z1OOMLZDMEEWS2DJ09VH,3NAD71TD7UOOXZN3I6F3RI79EEBL25,,0,1,0,1.25,3,104.156.125.63,37.17,-82.62,,male,08/04/1987,never,0,,,english,,41537,0,,,white,,,,,0,,,one family detached,,1,small town,college or some college,,,,less than 1 year college,,Psychology,,usa,KY,,1,born usa,full time work,Transportation driver,private business,0.111111111111111,1,0,0.333333333333333,0.111111111111111,0.25,0.25,working class,0.0,0.555555555555556,0.333333333333333,independent,,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,1,0.333333333333333,1.0,1.0,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jenkins,Kentucky,KY
12,3,0a6icupe,,0,8,7,outro,End,2019-11-09 21:01:58.877933+00:00,1,ABQ4*****CREZ,392C**********************54IO,0,1.25,s4u9h8b1,20191109-1600,,3EKTG13IZUGDZ3TLAIODW90KMK2LM6,3NAD71TD7UOOXZN3I6F3RI79EEBL25,,0,1,0,1.25,3,104.169.241.127,45.12,-92.53,,male,01/26/1982,married,1,3.0,31.0,english,,54017,0,,,white,,,,,0,,,one family detached,,0,small town,beyond bachelors,,,,,doctorate,,history,usa,WI,,1,born usa,full time work,historian,government employer,0.8888888888888891,0,0,0.791666666666667,0.7777777777777779,0.25,1.0,middle class,0.5,1.0,0.333333333333333,democrat,,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0,0.666666666666667,1.0,1.0,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Richmond,Wisconsin,WI
13,8,ha1rlm1w,,0,8,7,outro,End,2019-11-13 01:08:25.185721+00:00,1,A1PF******HUY4,3R5F**********************XOZQ,0,1.25,by5f47v7,20191112-2000,,3LOJFQ4BOXSZB35QCPD9YJ0BO83KDM,3NAD71TD7UOOXZN3I6F3RI79EEBL25,,0,1,0,1.25,8,104.2.10.117,40.11,-88.26000000000002,,male,12/19/1983,never,0,,,english,,61820,0,,,white,,,,,0,,,one family detached,,1,small town,college or some college,,,,bachelors degree,,economics,,usa,IL,,1,born usa,full time work,Financial Advisor,private business,0.0,1,0,0.875,0.444444444444444,0.5,0.5,middle class,0.5,0.8888888888888891,0.666666666666667,republican,,0.666666666666667,0.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,1,0.333333333333333,1.0,1.0,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Champaign,Illinois,IL
14,7,r9tsyn5k,,0,8,7,outro,End,2019-11-12 15:18:57.714162+00:00,1,A2NH******YVH0,3YOH**********************JVK9,0,1.25,bo56mv81,20191112-1000,,3ABAOCJ4R8HOQ09Y2NW9DVZEWSCMQN,3NAD71TD7UOOXZN3I6F3RI79EEBL25,,0,1,0,1.25,7,104.200.35.70,40.86,-82.31,,female,05/27/1978,married,1,1.0,12.0,english,,44805,0,,,white,,,,,1,roman catholic,,one family detached,,1,small town,college or some college,,,,bachelors degree,,Information technology,,usa,OH,,1,born usa,full time work,Data Analyst,private business,0.7777777777777779,1,1,0.666666666666667,0.222222222222222,0.25,0.5,lower class,0.5,0.8888888888888891,1.0,democrat,,0.833333333333333,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,1,0.333333333333333,0.666666666666667,0.666666666666667,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashland,Ohio,OH
15,1,7uw14stz,,0,8,7,outro,End,2019-11-11 07:04:53.810177+00:00,1,A2RC*****WYFO,374T**********************QYQD,0,1.25,n7lyp5qg,20191111-0200,,38B7Q9C28GIG9Y7KY5E624C3WQD69R,3NAD71TD7UOOXZN3I6F3RI79EEBL25,,0,1,0,1.25,1,104.236.53.155,32.84,-97.07,,female,04/01/1987,married,0,,,english,,76040,0,,,black,,,,,1,roman catholic,,five or more apartments,,0,medium city,college or some college,,,,associates degree,,nursing,,usa,TX,,1,born usa,full time work,i take care of patients,private business,0.666666666666667,0,1,0.708333333333333,0.111111111111111,0.25,0.5,lower class,0.5,0.8888888888888891,0.666666666666667,democrat,,0.166666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.166666666666667,0.5,0,0.666666666666667,1.0,0.0,0,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euless,Texas,TX
16,4,6utv91kb,,0,8,7,outro,End,2019-11-13 18:57:20.459306+00:00,1,A34Y******0AC4,37C0**********************8D6E,0,1.25,89r4sqa7,20191113-1400,,3S8APUMBJXWVGKFSXIV6NGK6ES8BF5,3NAD71TD7UOOXZN3I6F3RI79EEBL25,,0,1,0,1.25,4,104.237.80.4,32.79,-96.76,,male,08/23/1994,married,1,2.0,26.0,english,,75201,0,,,white,,,,,1,roman catholic,,one family attached,,1,suburb,beyond bachelors,,,,,masters degree,,manager,usa,TX,,1,born usa,full time work,manager,private business,0.7777777777777779,1,1,0.666666666666667,0.666666666666667,0.75,0.75,middle class,1.0,1.0,0.666666666666667,republican,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,0.0,0.666666666666667,0.5,0,0.666666666666667,0.333333333333333,1.0,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,Texas,TX
17,9,7nb657t1,,0,8,7,outro,End,2019-11-12 15:22:34.605161+00:00,1,ACZC*****S5B4,3DUZ**********************WSVN,0,1.25,bo56mv81,20191112-1000,,3ABAOCJ4R8HOQ09Y2NW9DVZEWSCMQN,3NAD71TD7UOOXZN3I6F3RI79EEBL25,,0,1,0,1.25,9,104.240.99.55,39.07,-89.72,,female,09/10/1982,never,1,1.0,28.0,english,,62069,0,,,white,,,,,0,,,one family detached,,1,medium city,college or some college,,,,bachelors degree,,Sociology,,usa,IL,,1,born usa,full time work,Virtual worker,self employed,1.0,1,0,0.333333333333333,0.222222222222222,0.5,0.25,working class,0.0,1.0,0.0,democrat,,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0,1.0,1.0,1.0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mount Olive,Illinois,IL
18,6,37c17008,,0,8,7,outro,End,2019-11-12 01:03:44.019035+00:00,1,A2VO******4NWU,3JZQ**********************1FGL,0,1.25,xfqsipnh,20191111-2000,,3QX22DUVOOUGV85FOMQJJIYMDJGMV4,3NAD71TD7UOOXZN3I6F3RI79EEBL25,,0,1,0,1.25,6,104.245.78.50,35.2,-101.81,,female,07/19/1961,widowed,0,,,english,,79105,0,,,white,,,,,1,protestant,,one family detached,,1,farm,college or some college,,,,bachelors degree,,Spanish,,usa,TX,,1,born usa,full time work,Trainer,government employer,1.0,0,0,0.708333333333333,0.666666666666667,0.5,0.5,working class,1.0,1.0,1.0,republican,,0.833333333333333,0.5,0.0,0.5,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,1.0,1,0.0,0.0,0.0,0,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amarillo,Texas,TX
19,8,rbhemfuw,,0,8,7,outro,End,2019-11-12 03:16:44.487513+00:00,1,A3H5******V7HZ,3634**********************3IFQ,0,1.25,u626vxfl,20191111-2200,,3QMELQS6Y5OMDY36SMESTPCX2ES6RR,3NAD71TD7UOOXZN3I6F3RI79EEBL25,,0,1,0,1.25,8,104.33.116.110,34.29,-118.5,,male,10/01/1992,never,0,,,english,,91344,1,mexican,,white,,,,,1,roman catholic,,one family detached,,0,large city,college or some college,,,,bachelors degree,,Psychology,,usa,CA,,1,born usa,full time work,Social Services Designee,private non profit,0.555555555555556,0,0,0.833333333333333,0.444444444444444,0.5,0.5,working class,0.5,0.444444444444444,1.0,democrat,,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.333333333333333,0.5,0,0.666666666666667,1.0,1.0,1,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Granada Hills,California,CA
20,7,lyrpqdvt,,0,8,7,outro,End,2019-11-09 15:31:16.083768+00:00,1,AKW5*****0X61,39GX**********************W8VT,0,1.25,vfko1mta,20191109-1000,,3UY4PIS8QRY6REAHT9LUP9G6T42N1X,3NAD71TD7UOOXZN3I6F3RI79EEBL25,,0,1,0,1.25,7,104.35.109.41,41.28,-88.27,,male,01/03/1995,married,1,1.0,20.0,english,,60416,0,,,black,,,,,1,roman catholic,,one family attached,,0,medium city,college or some college,,,,bachelors degree,,Computer Engineering,,usa,IL,,1,born usa,full time work,Software Developer,government employer,0.444444444444444,0,0,1.0,0.555555555555556,0.5,0.5,middle class,1.0,0.666666666666667,1.0,republican,,1.0,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.666666666666667,1.0,1,0.333333333333333,0.333333333333333,0.333333333333333,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coal City,Illinois,IL
21,11,ens2dynd,,0,8,7,outro,End,2019-11-14 03:30:21.026792+00:00,1,A3LL******R4LT,3XLB**********************H7ZR,0,1.25,783ft3q9,20191113-2200,,3WUVMVA7OBGW2R10SGPHVXGI8G4AZM,3NAD71TD7UOOXZN3I6F3RI79EEBL25,,0,1,0,1.25,11,104.48.32.177,43.39,-87.87,,male,01/09/1985,married,1,2.0,27.0,english,,53074,0,,,white,,,,,1,roman catholic,,one family detached,,0,small town,college or some college,,,,bachelors degree,,marketing,,usa,WI,,1,born usa,full time work,underwriter,private business,0.666666666666667,0,0,0.875,0.666666666666667,0.75,0.75,middle class,0.5,0.666666666666667,1.0,republican,,0.833333333333333,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.666666666666667,0.5,1,0.333333333333333,1.0,1.0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Port Washington,Wisconsin,WI
22,4,0wa2ntnf,,0,8,7,outro,End,2019-11-11 19:03:04.140066+00:00,1,A3D8******NVHC,3VJ4**********************7TOW,0,1.25,8gn1u6v6,20191111-1400,,3TRB893CSJNES88XVLP80ZYMVFN7GF,3NAD71TD7UOOXZN3I6F3RI79EEBL25,,0,1,0,1.25,4,104.56.175.237,33.1,-96.66,,male,01/01/1980,married,0,,,english,,75013,0,,,white,,,,,1,protestant,,one family detached,,1,farm,college or some college,,,,bachelors degree,,Business Administration,,usa,TX,,1,born usa,full time work,Software development,private business,0.7777777777777779,0,0,1.0,0.666666666666667,0.25,0.75,middle class,0.5,0.8888888888888891,1.0,republican,,0.833333333333333,1.0,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.666666666666667,0.0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allen,Texas,TX
